"","Nível Territorial (Código)","Nível Territorial","Município (Código)","Município","Trimestre (Código)","Trimestre","Variável (Código)","Variável","Sexo (Código)","Sexo","Unidade de Medida (Código)","Unidade de Medida","Valor"
"2","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","4092","Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","6794","Total","1572","Mil pessoas",157
"3","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","4092","Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","4","Homens","1572","Mil pessoas",63
"4","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","4092","Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","5","Mulheres","1572","Mil pessoas",93
"5","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","4093","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","6794","Total","2","%",8.4
"6","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","4093","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","4","Homens","2","%",11.7
"7","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","4093","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","5","Mulheres","2","%",10.4
"8","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","4110","Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","6794","Total","2","%",100
"9","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","4110","Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","4","Homens","2","%",40.4
"10","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","4110","Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","5","Mulheres","2","%",59.6
"11","6","Município","2927408","Salvador (BA)","201201","1º trimestre 2012","4111","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","6794","Total","2","%",NA
