trimestre,Branca,Preta,Parda
1ºtri/2012,16,51,93
2ºtri/2012,22,57,87
3ºtri/2012,13,52,88
4ºtri/2012,16,51,80
1ºtri/2013,24,78,100
2ºtri/2013,16,66,106
3ºtri/2013,22,54,94
4ºtri/2013,25,47,89
1ºtri/2014,35,71,128
2ºtri/2014,32,75,103
3ºtri/2014,30,64,114
4ºtri/2014,25,59,109
1ºtri/2015,28,64,105
2ºtri/2015,34,87,114
3ºtri/2015,42,91,143
4ºtri/2015,28,73,120
1ºtri/2016,24,119,144
2ºtri/2016,23,135,129
3ºtri/2016,29,118,130
4ºtri/2016,34,121,120
1ºtri/2017,24,107,122
2ºtri/2017,25,121,123
3ºtri/2017,23,102,112
4ºtri/2017,22,99,106
1ºtri/2018,33,98,127
2ºtri/2018,38,120,136
3ºtri/2018,40,107,130
4ºtri/2018,49,93,124
1ºtri/2019,41,100,124
2ºtri/2019,41,113,154
3ºtri/2019,44,84,128
4ºtri/2019,36,105,119
1ºtri/2020,31,109,151
