trimestre,total
1ºtri/2012,10.1
2ºtri/2012,10.4
3ºtri/2012,9.6
4ºtri/2012,9.5
1ºtri/2013,13.1
2ºtri/2013,12.2
3ºtri/2013,11.0
4ºtri/2013,10.1
1ºtri/2014,14.3
2ºtri/2014,12.9
3ºtri/2014,12.9
4ºtri/2014,11.7
1ºtri/2015,12.4
2ºtri/2015,14.2
3ºtri/2015,16.3
4ºtri/2015,13.3
1ºtri/2016,17.6
2ºtri/2016,17.8
3ºtri/2016,17.2
4ºtri/2016,16.8
1ºtri/2017,15.3
2ºtri/2017,16.1
3ºtri/2017,14.3
4ºtri/2017,13.6
1ºtri/2018,15.6
2ºtri/2018,17.5
3ºtri/2018,16.4
4ºtri/2018,15.5
1ºtri/2019,15.8
2ºtri/2019,17.9
3ºtri/2019,15.1
4ºtri/2019,15.3
1ºtri/2020,17.7
