trimestre,total
1ºtri2012,157.0
2ºtri2012,164.0
3ºtri2012,153.0
4ºtri2012,152.0
1ºtri2013,201.0
2ºtri2013,187.0
3ºtri2013,170.0
4ºtri2013,159.0
1ºtri2014,232.0
2ºtri2014,210.0
3ºtri2014,205.0
4ºtri2014,193.0
1ºtri2015,198.0
2ºtri2015,234.0
3ºtri2015,270.0
4ºtri2015,218.0
1ºtri2016,286.0
2ºtri2016,286.0
3ºtri2016,275.0
4ºtri2016,270.0
1ºtri2017,255.0
2ºtri2017,268.0
3ºtri2017,242.0
4ºtri2017,229.0
1ºtri2018,261.0
2ºtri2018,290.0
3ºtri2018,271.0
4ºtri2018,262.0
1ºtri2019,265.0
2ºtri2019,306.0
3ºtri2019,254.0
4ºtri2019,257.0
1ºtri2020,289.0
